priority_tier,priority_score,product_id,product_slug_label,product_name,brand,category,protein_g,current_url,new_proteinlab_url,affiliate_link_id,channel_id,status,priority_reason,recommended_action,notes
P2,63,quest-nutrition-protein-bar-lemon-cake-60,Quest Nutrition Protein Bar Lemon Cake 60,단백질바 (레몬 케이크),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1X8kYz24,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-mint-chocolate-chunk-60,Quest Nutrition Protein Bar Mint Chocolate Chunk 60,단백질바 (민트 초콜릿 청크),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg1YOovAfQ,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-smores-60,Quest Nutrition Protein Bar Smores 60,단백질바 (스모어),퀘스트 뉴트리션,bar,21,https://link.coupang.com/a/fg12mQAtwr,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,quest-nutrition-protein-bar-white-chocolate-raspberry-60,Quest Nutrition Protein Bar White Chocolate Raspberry 60,단백질바 (화이트 초콜릿 라즈베리),퀘스트 뉴트리션,bar,20,https://link.coupang.com/a/fg11eGcoFw,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,syntha6-crispy-choco,Syntha6 Crispy Choco,프로틴 크리스프 단백질바 (초콜릿 크런치),비에스엔,bar,20,https://link.coupang.com/a/fg1Th9SVG0,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,denmark-high-greek-400,Denmark High Greek 400,덴마크 하이 그릭요거트 400g,덴마크,yogurt,28,https://www.coupang.com/vp/products/8564152398?itemId=24810245578&vendorItemId=91817799894&q=%EB%8D%B4%EB%A7%88%ED%81%AC+%ED%95%98%EC%9D%B4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+400g&searchId=54b4925d9456206&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mnpsf9r1,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,greekday-light-450,Greekday Light 450,그릭데이 그릭요거트 라이트 450g,그릭데이,yogurt,49.5,https://www.coupang.com/vp/products/7798461431?itemId=14628773109&vendorItemId=77964863727&q=%EA%B7%B8%EB%A6%AD%EB%8D%B0%EC%9D%B4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+%EB%9D%BC%EC%9D%B4%ED%8A%B8+450g&searchId=629eecae4527260&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyvgka9,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,greekday-light-800,Greekday Light 800,그릭데이 그릭요거트 라이트 800g,그릭데이,yogurt,88,https://www.coupang.com/vp/products/5463245073?itemId=17468368446&vendorItemId=84636080357&pickType=COU_PICK&q=그릭데이%20그릭요거트%20라이트%20800g&searchId=47cc4c794547067&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyvgruo,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,greekday-signature-450,Greekday Signature 450,그릭데이 그릭요거트 시그니처 450g,그릭데이,yogurt,51.39,https://www.coupang.com/vp/products/5463245022?itemId=17894188425&vendorItemId=85057078619&pickType=COU_PICK&q=%EA%B7%B8%EB%A6%AD%EB%8D%B0%EC%9D%B4+%EA%B7%B8%EB%A6%AD%EC%9A%94%EA%B1%B0%ED%8A%B8+%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98+450g&searchId=c27b29624552625&sourceType=search&itemsCount=36&searchRank=0&rank=0,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,61,greekday-signature-800,Greekday Signature 800,그릭데이 그릭요거트 시그니처 800g,그릭데이,yogurt,91.36,https://www.coupang.com/vp/products/5463245022?itemId=17468368450&vendorItemId=84636080373&pickType=COU_PICK&q=그릭데이%20그릭요거트%20시그니처%20800g&searchId=5cad5da44557131&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyvhpbw,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
